2026-08-24,20.8,10.7,0,3,0
2026-08-25,24.2,9.1,0,3,0
2026-08-26,23.7,14.4,0,3,8
2026-08-27,27.7,14.3,0,3,0
2026-08-28,27.6,18.5,0.2,61,68
2026-08-29,26.1,17,0.2,80,43
2026-08-30,26.6,18.2,0.1,61,83
2026-08-31,25.4,15.3,3.9,95,65
2026-09-01,22.9,15,0.3,80,23
2026-09-02,23.2,11.2,0,3,5
2026-09-03,20.8,14.7,3.9,61,56
2026-09-04,19.6,15.3,13.95,61,80
2026-09-05,21.4,15.9,3.6,63,69
2026-09-06,20,13.6,0,3,12
2026-09-07,24.9,13.9,2.1,51,21
2026-09-08,18.3,13.3,2.7,51,18
2026-09-09,15.8,10.5,0,3,24
2026-09-10,21,14.1,0.6,51,29
2026-09-11,19,13.1,0,3,22
2026-09-12,20.9,12.1,1.2,51,22
2026-09-13,17.8,12.1,4.8,51,20
2026-09-14,20.4,10.8,0,3,
2026-09-15,,,,,
