2026-08-24,20.7,11.5,0,3,0
2026-08-25,24.2,13.1,0,3,0
2026-08-26,24.2,15,0,3,5
2026-08-27,27.8,14.7,0,3,0
2026-08-28,25.7,19,0.1,80,55
2026-08-29,26.3,18.4,0,3,35
2026-08-30,26.2,19.3,0.1,61,70
2026-08-31,24.7,17.4,1.5,95,73
2026-09-01,23.3,15.9,0.3,80,33
2026-09-02,23.1,13.1,0,3,8
2026-09-03,20.1,15.4,2.7,61,57
2026-09-04,20.5,15.8,12,61,81
2026-09-05,21.5,16.1,4.2,80,71
2026-09-06,20.1,13.7,0,2,11
2026-09-07,25.6,14.1,5.4,51,22
2026-09-08,18.6,13.3,3.6,51,22
2026-09-09,14.8,10.2,0.6,51,24
2026-09-10,20.7,13.9,1.2,51,29
2026-09-11,18.7,12.8,0,3,22
2026-09-12,21.2,11.7,0.3,51,22
2026-09-13,17.5,12.2,5.7,53,22
2026-09-14,20.6,10.9,0,3,
2026-09-15,,,,,
